,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
305,319,https://www.zomato.com/bangalore/raffaeles-ristorante-pizzeria-indiranagar-bangalore/info,Raffaele's Ristorante Pizzeria,4.1,"₹1,000 for two",pizza pasta italian sandwich shake beverages,Indiranagar,indiranagar,Indiranagar,"Pizza, Pasta, Italian, Sandwich, Shake, Beverages"
306,321,https://www.zomato.com/bangalore/tiddly-tavern-bar-grill-2-whitefield-bangalore/info,Tiddly Tavern Bar & Grill,4.3,"₹1,000 for two",south indian north indian continental pizza asian chinese seafood,"Ascendas Park Square, Whitefield",whitefield,Whitefield,"South Indian, North Indian, Continental, Pizza, Asian, Chinese, Seafood"
307,322,https://www.zomato.com/bangalore/harleys-fine-baking-jp-nagar-bangalore/info,Harley's Fine Baking,4.0,₹600 for two,bakery sandwich,JP Nagar,jpnagar,JP Nagar,"Bakery, Sandwich"
308,323,https://www.zomato.com/bangalore/the-bangalore-cafe-1-shanti-nagar-bangalore/info,The Bangalore Cafe,4.2,₹950 for two,north indian italian continental biryani chinese desserts,Shanti Nagar,ashoknagar,Ashok Nagar,"North Indian, Italian, Continental, Biryani, Chinese, Desserts"
309,324,https://www.zomato.com/bangalore/dont-tell-mama-1-hsr-bangalore/info,Don't Tell Mama,4.0,"₹2,000 for two",north indian continental chinese italian oriental thai biryani,HSR,hsr,HSR,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani"
310,325,https://www.zomato.com/bangalore/jalebbi-kitchen-bar-cunningham-road-bangalore/info,Jalebbi Kitchen & Bar,4.4,"₹1,400 for two",north indian biryani desserts,Cunningham Road,cunninghamroad,Cunningham Road,"North Indian, Biryani, Desserts"
311,326,https://www.zomato.com/bangalore/klayworkz-barista-jp-nagar-bangalore/info,Klayworkz Barista,4.2,"₹1,000 for two",cafe shake beverages italian continental oriental north indian,JP Nagar,jpnagar,JP Nagar,"Cafe, Shake, Beverages, Italian, Continental, Oriental, North Indian"
312,328,https://www.zomato.com/bangalore/basil-bistro-hsr-bangalore/info,Basil Bistro,4.2,"₹1,800 for two",continental italian north indian asian pizza desserts coffee beverages,HSR,hsr,HSR,"Continental, Italian, North Indian, Asian, Pizza, Desserts, Coffee, Beverages"
313,329,https://www.zomato.com/bangalore/sattvam-jp-nagar-bangalore/info,Sattvam,4.2,"₹1,960 for two",chinese continental,JP Nagar,jpnagar,JP Nagar,"Chinese, Continental"
314,330,https://www.zomato.com/bangalore/phobidden-fruit-indiranagar/info,Phobidden Fruit,4.4,"₹1,300 for two",vietnamese asian desserts,Indiranagar,indiranagar,Indiranagar,"Vietnamese, Asian, Desserts"
315,331,https://www.zomato.com/bangalore/the-biere-club-lavelle-road-bangalore/info,The Biere Club,4.2,"₹2,600 for two",bar food continental italian wraps salad middle eastern pizza,Lavelle Road,lavelleroad,Lavelle Road,"Bar Food, Continental, Italian, Wraps, Salad, Middle Eastern, Pizza"
316,332,https://www.zomato.com/bangalore/glen-s-bakehouse-whitefield-bangalore/info,Glen`s Bakehouse,3.8,₹800 for two,bakery cafe italian continental fast food beverages desserts,Whitefield,whitefield,Whitefield,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts"
317,333,https://www.zomato.com/bangalore/1-bhk-bar-house-kitchen-1-koramangala-6th-block-bangalore/info,1 BHK - Bar House Kitchen,4.3,"₹1,400 for two",continental italian pizza sandwich desserts shake beverages,Koramangala 6th Block,koramangala,Koramangala,"Continental, Italian, Pizza, Sandwich, Desserts, Shake, Beverages"
318,334,https://www.zomato.com/bangalore/sodabottleopenerwala-lavelle-road-bangalore/info,SodaBottleOpenerWala,4.4,"₹1,800 for two",parsi north indian street food desserts beverages,Lavelle Road,lavelleroad,Lavelle Road,"Parsi, North Indian, Street Food, Desserts, Beverages"
319,335,https://www.zomato.com/bangalore/mahesh-lunch-home-1-indiranagar-bangalore/info,Mahesh Lunch Home,4.2,"₹1,700 for two",seafood mangalorean south indian north indian continental desserts beverages,Indiranagar,indiranagar,Indiranagar,"Seafood, Mangalorean, South Indian, North Indian, Continental, Desserts, Beverages"
