,links,names,ratings,price for two,cuisine,Location
277,https://www.zomato.com/bangalore/travellers-bungalow-1-indiranagar-bangalore/info,Travellers Bungalow,4.3,"₹1,400 for two","Middle Eastern, European, Pizza, Finger Food, Desserts, Beverages",Indiranagar
278,https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,Moplah's,4.5,"₹2,400 for two","Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts",Koramangala 5th Block
279,https://www.zomato.com/LOFT38/info,LOFT38,4.2,"₹2,000 for two","Italian, BBQ, Asian, North Indian, Fast Food, Beverages",Indiranagar
280,https://www.zomato.com/bangalore/fat-owl-jp-nagar-bangalore/info,Fat Owl,4.2,"₹1,800 for two","North Indian, Salad, Fast Food, Chinese, Seafood, Pizza, Italian, Bar Food",JP Nagar
281,https://www.zomato.com/bangalore/copper-chimney-whitefield-bangalore/info,Copper Chimney,4.3,"₹1,700 for two","North Indian, Mughlai, Biryani, Kebab, Beverages","Phoenix Marketcity Bangalore, Whitefield"
282,https://www.zomato.com/bangalore/chulha-chauki-da-dhaba-sarjapur-road-bangalore/info,Chulha Chauki Da Dhaba,4.3,"₹1,000 for two","North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",Sarjapur Road
283,https://www.zomato.com/bangalore/rumi-indiranagar-bangalore/info,Rumi,4.0,"₹1,100 for two","Awadhi, Mughlai, North Indian, Kebab, Desserts",Indiranagar
284,https://www.zomato.com/bangalore/kobe-sizzlers-koramangala-5th-block/info,Kobe Sizzlers,3.9,"₹1,600 for two","Pasta, Burger, Sandwich, American, Continental",Koramangala 5th Block
285,https://www.zomato.com/bangalore/olive-beach-richmond-road-bangalore/info,Olive Beach,4.5,"₹3,500 for two","Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",Richmond Road
286,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info,Rasotsav,4.3,"₹1,200 for two","Rajasthani, Gujarati, North Indian, Mithai","Forum Falcon City Mall, Kanakapura Roaad"
287,https://www.zomato.com/bangalore/blue-butterfly-bar-kitchen-bommasandra-bangalore/info,Blue Butterfly Bar & Kitchen,4.3,"₹2,000 for two","Asian, Continental",Bommasandra
288,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,Sidewalk Bar & Kitchen,4.3,"₹1,800 for two","North Indian, Continental, Chinese, Fast Food, Beverages",Marathahalli
289,https://www.zomato.com/bangalore/the-fatty-bao-indiranagar-bangalore/info,The Fatty Bao,4.5,"₹1,400 for two","Asian, Sushi, Japanese, Chinese",Indiranagar
290,https://www.zomato.com/bangalore/linto-coffe-jp-nagar-bangalore/info,Linto Coffe,4.0,₹850 for two,"Coffee, Chinese, Continental",JP Nagar
291,https://www.zomato.com/bangalore/the-caffeine-baar-jayanagar-bangalore/info,The Caffeine Baar,4.3,₹950 for two,"Cafe, Italian, Continental, Bakery, Desserts, Beverages",Jayanagar
292,https://www.zomato.com/bangalore/truffles-koramangala-5th-block/info,Truffles,4.6,"₹1,100 for two","Burger, Italian, Desserts, Continental, American, Fast Food, Beverages",Koramangala 5th Block
293,https://www.zomato.com/bangalore/drunken-daddy-koramangala-5th-block-bangalore/info,Drunken Daddy,4.3,"₹1,400 for two","North Indian, Continental, Fast Food, Oriental, Finger Food, Biryani, Beverages",Koramangala 5th Block
294,https://www.zomato.com/bangalore/california-burrito-hsr/info,California Burrito,4.4,₹450 for two,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages",HSR
295,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/info,Nasi And Mee,4.5,"₹1,600 for two","Asian, Sushi, Thai",Koramangala 4th Block
296,https://www.zomato.com/bangalore/pizzaexpress-indiranagar-bangalore/info,PizzaExpress,4.0,"₹1,400 for two","Pizza, Italian, Salad, Bakery, Coffee, Beverages",Indiranagar
297,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,Chowki Multicuisine Restaurant,4.2,₹700 for two,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",Whitefield
298,https://www.zomato.com/bangalore/ignyt-the-beer-station-kumaraswamy-layout-bangalore/info,IGNYT -The Beer Station,New,"₹2,000 for two",Continental,Kumaraswamy Layout
